Values,0,0,0,[11,[18,[4,
BV,z,x1,x2,x3,x4,x5,RHS,
z,[1,[1,[1,0,0,0,0,
x3,0,[2,[1,[1,0,0,[11,
x4,0,[1,[3,0,[1,0,[18,
x5,0,[1,0,0,0,[1,[4,

Swapping,row:,x5,col,x1
Values,-[4,[4,0,[3,[14,0,
BV,z,x1,x2,x3,x4,x5,RHS,
z,[1,0,[1,0,0,-[1,-[4,
x3,0,0,[1,[1,0,-[2,[3,
x4,0,0,[3,0,[1,-[1,[14,
x1,0,[1,0,0,0,[1,[4,

Swapping,row:,x3,col,x2
Values,-[7,[4,[3,0,[5,0,
BV,z,x1,x2,x3,x4,x5,RHS,
z,[1,0,0,-[1,0,[1,-[7,
x2,0,0,[1,[1,0,-[2,[3,
x4,0,0,0,-[3,[1,[5,[5,
x1,0,[1,0,0,0,[1,[4,

Swapping,row:,x4,col,x5
Values,-[8,[3,[5,0,0,[1,
BV,z,x1,x2,x3,x4,x5,RHS,
z,[1,0,0,-[2/5,-[1/5,0,-[8,
x2,0,0,[1,-[1/5,[2/5,0,[5,
x5,0,0,0,-[3/5,[1/5,[1,[1,
x1,0,[1,0,[3/5,-[1/5,0,[3,

